Method,K-Value,Silhouette Score
NR,2,0.5817500491982808
PCA,2,0.6145202036230449
K-PCA,2,0.6311816485509132
RP,2,0.63702229234369
t-SNE,2,0.8663443922996521
NR,3,0.45994823920518635
PCA,3,0.5091683341538228
K-PCA,3,0.6676968561248299
RP,3,0.5486653910107715
t-SNE,3,0.6394619941711426
NR,4,0.38694104154427816
PCA,4,0.44131690447171157
K-PCA,4,0.6405637122084017
RP,4,0.5094121313084469
t-SNE,4,0.6224074363708496
NR,5,0.34194697093163473
PCA,5,0.4155809689613341
K-PCA,5,0.6104076525254197
RP,5,0.4324129095571564
t-SNE,5,0.49999886751174927
NR,6,0.32674451109112396
PCA,6,0.43541709691019786
K-PCA,6,0.5141499420843354
RP,6,0.4256769528561682
t-SNE,6,0.4860450327396393
NR,2,0.5817500491982808
PCA,2,0.5859517912768418
K-PCA,2,0.5501836413191228
RP,2,0.652457043914747
t-SNE,2,0.3566719591617584
NR,3,0.45994823920518635
PCA,3,0.46613062910381436
K-PCA,3,0.5588597971421404
RP,3,0.4150006008107933
t-SNE,3,0.39439743757247925
NR,4,0.38694104154427816
PCA,4,0.3942123888985152
K-PCA,4,0.5444511314304752
RP,4,0.3328769024550932
t-SNE,4,0.3803047239780426
NR,5,0.34194697093163473
PCA,5,0.34961679380396193
K-PCA,5,0.5304035344081323
RP,5,0.3090244036176294
t-SNE,5,0.33752843737602234
NR,6,0.32674451109112396
PCA,6,0.33444197671447523
K-PCA,6,0.5443737337819022
RP,6,0.3266285224896285
t-SNE,6,0.34088265895843506
