Method,K-Value,Silhouette Score
NR,2,0.5817500491982808
PCA,2,0.7800140193556342
K-PCA,2,0.852177608197136
RP,2,0.6323111861839132
t-SNE,2,0.8502309322357178
NR,3,0.45994823920518635
PCA,3,0.6754183875905304
K-PCA,3,0.7168908217362349
RP,3,0.5959546903946525
t-SNE,3,0.7140820026397705
NR,4,0.38694104154427816
PCA,4,0.691131592259135
K-PCA,4,0.7012404687113563
RP,4,0.5858358335679661
t-SNE,4,0.6990204453468323
NR,5,0.34194697093163473
PCA,5,0.6742224806844742
K-PCA,5,0.6197994791273184
RP,5,0.5617951568887062
t-SNE,5,0.6005968451499939
NR,6,0.32674451109112396
PCA,6,0.6572756107842133
K-PCA,6,0.5854044676094067
RP,6,0.5574243812461556
t-SNE,6,0.5791475176811218
NR,2,0.5817500491982808
PCA,2,0.6145202036230449
K-PCA,2,0.6311816485509132
RP,2,0.5312844968000926
t-SNE,2,0.8663443922996521
NR,3,0.45994823920518635
PCA,3,0.5091683341538228
K-PCA,3,0.6676968561248299
RP,3,0.5053851755305705
t-SNE,3,0.6394619941711426
NR,4,0.38694104154427816
PCA,4,0.44131690447171157
K-PCA,4,0.6405637122084017
RP,4,0.4821888595252222
t-SNE,4,0.6224074363708496
NR,5,0.34194697093163473
PCA,5,0.4155809689613341
K-PCA,5,0.6104076525254197
RP,5,0.45302592837040473
t-SNE,5,0.49999886751174927
NR,6,0.32674451109112396
PCA,6,0.43541709691019786
K-PCA,6,0.5141499420843354
RP,6,0.41491997556641336
t-SNE,6,0.4860450327396393
NR,2,0.5817500491982808
PCA,2,0.5859517912768418
K-PCA,2,0.5501836413191228
RP,2,0.46855458126018185
t-SNE,2,0.3566719591617584
NR,3,0.45994823920518635
PCA,3,0.46613062910381436
K-PCA,3,0.5588597971421404
RP,3,0.3737414183551137
t-SNE,3,0.39439743757247925
NR,4,0.38694104154427816
PCA,4,0.3942123888985152
K-PCA,4,0.5444511314304752
RP,4,0.35859877231395615
t-SNE,4,0.3803047239780426
NR,5,0.34194697093163473
PCA,5,0.34961679380396193
K-PCA,5,0.5304035344081323
RP,5,0.3787418050984275
t-SNE,5,0.33752843737602234
NR,6,0.32674451109112396
PCA,6,0.33444197671447523
K-PCA,6,0.5443737337819022
RP,6,0.3634269999487978
t-SNE,6,0.34088265895843506
